WeekOfMonth,DayOfWeek,NonUrgentOrder,UrgentOrder,OrderTypeA,OrderTypeB,OrderTypeC,FiscalSectorOrders,TrafficControllerOrders,BankingOrders1,BankingOrders2,BankingOrders3,TotalOrders
1.0,4.0,316.307,223.27,61.543,175.586,302.448,0.0,65556.0,44914.0,188411.0,14793.0,539.577
1.0,5.0,128.633,96.042,38.058,56.037,130.58,0.0,40419.0,21399.0,89461.0,7679.0,224.675
1.0,6.0,43.651,84.375,21.826,25.125,82.461,1.386,11992.0,3452.0,21305.0,14947.0,129.412
2.0,2.0,171.297,127.667,41.542,113.294,162.284,18.156,49971.0,33703.0,69054.0,18423.0,317.12
2.0,3.0,90.532,113.526,37.679,56.618,116.22,6.459,48534.0,19646.0,16411.0,20257.0,210.517
2.0,4.0,110.925,96.36,30.792,50.704,125.868,79.0,52042.0,8773.0,47522.0,24966.0,207.364
2.0,5.0,144.124,118.919,43.304,66.371,153.368,0.0,46573.0,33597.0,48269.0,20973.0,263.043
2.0,6.0,119.379,113.87,38.584,85.961,124.413,15.709,35033.0,26278.0,56665.0,18502.0,248.958
3.0,2.0,218.856,124.381,33.973,148.274,162.044,1.054,66612.0,19461.0,103376.0,10458.0,344.291
3.0,3.0,146.518,101.045,36.399,43.306,168.723,865.0,58224.0,7742.0,82395.0,11948.0,248.428
3.0,4.0,178.433,102.793,45.706,111.036,124.678,194.0,47046.0,17299.0,108719.0,15560.0,281.42
3.0,5.0,145.865,91.18,43.851,66.277,133.44,6.523,66910.0,17768.0,36693.0,29046.0,243.568
3.0,6.0,170.566,114.412,43.339,136.434,128.405,23.2,32529.0,34002.0,78153.0,31949.0,308.178
4.0,2.0,220.343,141.406,46.241,120.865,196.296,1.653,34878.0,32905.0,117137.0,29188.0,363.402
4.0,3.0,193.768,141.854,56.519,136.709,143.644,1.25,57858.0,23956.0,101048.0,30134.0,336.872
4.0,4.0,122.736,124.256,56.167,78.101,112.724,0.0,52321.0,10046.0,62799.0,24233.0,246.992
4.0,5.0,144.051,158.408,51.66,92.272,164.948,6.421,47167.0,6440.0,91784.0,15973.0,308.88
4.0,6.0,105.415,108.688,47.717,71.474,113.935,19.023,42737.0,26020.0,27873.0,17600.0,233.126
5.0,2.0,240.66,163.72,59.135,157.681,187.564,0.0,39273.0,32917.0,155617.0,9203.0,404.38
1.0,3.0,131.067,166.649,90.476,80.509,127.575,844.0,60543.0,19141.0,78378.0,73839.0,298.56
1.0,4.0,130.129,98.927,42.904,43.962,142.383,193.0,54760.0,9163.0,29874.0,46992.0,229.249
1.0,5.0,123.286,103.551,47.331,72.444,116.529,9.467,48732.0,21196.0,47793.0,47574.0,236.304
1.0,6.0,190.816,87.629,32.077,127.358,137.739,18.729,46368.0,36798.0,92701.0,31098.0,297.174
2.0,2.0,266.741,141.437,58.721,139.034,211.646,1.223,58081.0,43333.0,135314.0,29716.0,409.401
2.0,3.0,123.143,106.083,36.017,75.813,119.205,1.809,45340.0,22109.0,55584.0,29803.0,231.035
2.0,4.0,148.139,85.31,35.576,79.997,123.253,5.377,59686.0,14188.0,67617.0,32319.0,238.826
2.0,5.0,118.552,100.417,54.401,75.613,105.584,16.629,40423.0,24682.0,47563.0,35314.0,235.598
2.0,6.0,146.959,95.153,37.656,59.907,144.549,0.0,50908.0,45733.0,43930.0,28998.0,242.112
3.0,2.0,299.77,133.375,57.81,236.248,196.732,57.645,71772.0,57756.0,159373.0,29160.0,490.79
3.0,3.0,151.341,131.788,43.359,89.382,156.916,6.528,53573.0,42638.0,62732.0,32386.0,289.657
3.0,4.0,206.206,92.16,45.555,148.718,104.186,93.0,49110.0,36904.0,126632.0,33237.0,298.459
3.0,5.0,170.868,131.463,45.55,120.548,157.505,21.272,42534.0,79556.0,50433.0,36483.0,323.603
4.0,3.0,435.304,181.149,67.884,267.342,281.227,0.0,64867.0,210508.0,177229.0,30514.0,616.453
4.0,4.0,235.106,110.874,70.376,154.242,121.417,55.0,23257.0,163452.0,63699.0,33805.0,346.035
